Naturalness,Taste,Price,Safety,Convenience,Nutrition,Novelty,Origin,Fairness,Appearance,Environmental Impact,Animal Welfare,Naturalness,Taste,Price,Safety,Convenience,Nutrition,Novelty,Origin,Fairness,Appearance,Environmental Impact,Animal Welfare,Weekly GroceryExpenditure,Weekly Eating Out Expenditure,Finding affordable foods that fit my budget,"Avoiding foods that contain pesticides, added hormones & antibiotics","Finding convenient, quick-to-make alternatives",Finding foods my children will eat,Losing weight,Finding time to cook at home,"Avoiding certain nutrients or ingredients (i.e. sodium, carbohydrates, trans fats, etc.)",Priceset1,Priceset2,Priceset3,Priceset4,Priceset5,Priceset6,Priceset7,Priceset8,Priceset9,Priceset10,Priceset11,Priceset12,Priceset13,Priceset14,Priceset15,Priceset16,Priceset17,Priceset18,Priceset19,Priceset20,Priceset21,Pricese22,Priceset23,Priceset24,Priceset25,Priceset26,Priceset27,Are you a vegetarian or a vegan?,Primaryshopper,FarmingExperience,CurrentlyFarm,Gender,Age,MaritalStatus,NumberInHousehold,Children<12,Weight,Height,ReceivedFoodStamps,CurrentlyOnFoodStamps,State,Education,Approximate / annual household income before taxes in 2012,"Hispanic, Latino, or Spanish origin?",Race,PoliticalInclination,PoliticalParty,LocationLatitude,LocationLongitude
1,4,0,4,0,3,,,1,1,0,2,0,1,1,3,1,2,,,,,,,4,2,6,2,5,7,1,4,3,,,,,,,,,,3,5,7,5,5,5,3,5,3,,,,,,,,,,1,1,2,2,1,5,1,1,2,210,20,1,1,33,3,2,1,2,1,1,40.859603881836,-73.931396484375
1,3,0,2,0,4,0,3,,,,,,,1,1,1,2,0,1,,,1,4,4,3,5,6,3,4,7,1,2,,,,,,,,,,,,,,,,,,,2,4,2,2,2,2,5,2,1,2,1,2,2,2,3,1,2,2,150,14,1,2,36,4,2,1,2,4,1,41.045501708984,-81.52660369873
1,4,0,4,1,1,0,1,,,0,2,1,3,0,3,,,,,,,1,2,6,4,7,1,2,4,5,3,6,5,3,2,3,8,6,1,7,5,,,,,,,,,,,,,,,,,,,2,1,2,2,2,5,2,4,2,125,12,2,2,6,3,4,1,2,4,1,38.746597290039,-104.71029663086
0,2,,,1,4,0,1,1,3,1,2,1,1,0,4,,,,,,,0,3,4,1,3,4,7,6,1,5,2,,,,,,,,,,5,7,6,5,1,9,9,9,5,,,,,,,,,,2,1,1,2,2,3,2,2,2,250,16,2,2,23,3,1,2,1,6,4,41.893402099609,-84.065902709961
0,1,,,0,4,,,1,3,0,2,1,1,,,1,4,,,0,3,1,2,5,3,5,6,4,7,2,3,1,,,,,,,,,,,,,,,,,,,2,6,5,2,2,2,6,2,6,2,1,2,2,1,3,1,3,2,137,21,2,2,33,6,5,3,1,1,1,40.694396972656,-73.990600585938
0,3,0,1,0,2,1,4,1,3,,,,,1,1,,,0,4,,,1,2,5,6,2,1,7,5,3,6,4,,,,,,,,,,4,5,3,8,4,7,3,5,1,,,,,,,,,,2,1,2,2,1,2,2,3,1,165,22,2,2,21,5,6,1,8,2,1,39.328094482422,-76.638496398926
1,4,0,3,0,1,0,4,,,,,0,2,1,1,,,,,1,2,1,3,4,4,4,2,5,7,1,3,6,,,,,,,,,,,,,,,,,,,5,3,5,3,5,3,3,3,3,2,1,2,2,1,4,4,1,2,255,22,2,2,10,5,5,3,1,3,2,39.290405273438,-76.612197875977
,,0,1,0,3,,,0,4,,,1,3,1,2,,,0,2,1,4,1,1,8,1,5,6,2,3,4,1,7,5,3,2,1,5,5,5,5,3,,,,,,,,,,,,,,,,,,,2,3,2,2,1,4,2,4,1,175,18,2,2,39,5,8,1,2,2,1,39.365600585938,-76.619903564453
0,3,0,1,,,0,4,1,2,0,2,1,1,,,,,1,3,1,4,,,3,3,1,3,6,7,2,5,4,6,6,6,6,6,4,6,6,6,,,,,,,,,,,,,,,,,,,2,1,2,2,2,5,4,1,2,198,17,1,1,36,4,1,1,2,1,1,39.127105712891,-84.51439666748
,,0,3,0,4,0,1,1,3,,,1,2,,,1,1,1,4,,,0,2,7,6,4,5,6,7,1,2,3,,,,,,,,,,5,5,1,1,5,1,4,5,4,,,,,,,,,,2,1,2,2,2,2,2,2,2,125,15,2,2,5,5,5,1,9,3,1,33.876800537109,-117.89309692383
1,3,0,4,,,1,2,,,0,3,1,1,,,0,2,0,1,1,4,,,6,6,4,6,1,5,2,3,7,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,5,2,1,2,1,2,2,2,2,2,5,1,175,13,1,1,44,2,3,2,1,3,1,27.461502075195,-97.843696594238
0,1,,,0,4,0,3,,,1,1,1,3,0,2,1,4,,,1,2,,,1,1,3,1,7,6,2,5,4,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,1,1,2,102,2,2,2,48,1,1,1,1,1,1,47.111999511719,-122.76519775391
,,0,2,,,0,3,1,2,0,1,1,3,1,1,,,,,0,4,1,4,5,3,7,3,2,4,1,5,6,,,,,,,,,,,,,,,,,,,2,6,3,4,1,2,2,8,5,2,1,1,2,2,2,2,2,2,52,14,2,2,33,6,3,1,4,6,4,40.988296508789,-73.795402526855
,,,,0,3,0,1,1,4,0,4,1,3,,,,,1,1,0,2,1,2,2,1,1,2,3,5,6,4,7,7,9,9,1,4,1,5,8,4,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,1,5,2,115,15,2,2,33,5,2,1,8,2,1,41.039306640625,-73.810096740723
1,1,0,3,,,0,2,0,4,,,,,1,2,1,3,0,1,1,4,,,5,3,1,6,2,7,4,5,3,,,,,,,,,,5,7,9,9,6,9,7,5,3,,,,,,,,,,2,1,2,2,2,2,1,3,2,250,20,1,2,34,3,2,1,2,6,5,35.889602661133,-78.92440032959
1,2,0,3,0,1,,,,,0,4,1,4,1,3,1,1,0,2,,,,,8,3,5,6,7,4,1,3,2,,,,,,,,,,3,4,3,3,4,4,5,5,3,,,,,,,,,,2,1,2,2,2,5,2,4,2,140,12,2,2,28,2,3,5,1,2,1,41.110504150391,-95.93399810791
,,0,2,0,3,,,1,1,1,2,1,3,,,,,0,1,1,4,0,4,3,2,2,4,5,3,1,7,6,7,7,8,7,7,5,7,7,8,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,4,1,190,16,2,2,24,5,4,5,2,1,1,45.005706787109,-93.378601074219
