Weekly GroceryExpenditure,Weekly Eating Out Expenditure,Finding affordable foods that fit my budget,"Avoiding foods that contain pesticides, added hormones & antibiotics","Finding convenient, quick-to-make alternatives",Finding foods my children will eat,Losing weight,Finding time to cook at home,"Avoiding certain nutrients or ingredients (i.e. sodium, carbohydrates, trans fats, etc.)",CurrentlyFarm,Age,MaritalStatus,NumberInHousehold,Children<12,CurrentlyOnFoodStamps,Education,Approximate / annual household income before taxes in 2012,0,1,2,3,4,5,6,7,8,9,Cluster,Race,State
4.0,2.0,6.0,2.0,5.0,7.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,-1.5340737426206694,0.22030813983007533,1.1459445799668844,1.4885470386475623,1.0799986628376903,-1.455526402919726,-0.8154691867124305,1.4272508830877373,0.8426029393634485,-0.529501791186934,4,2.0,33.0
4.0,3.0,5.0,6.0,3.0,4.0,7.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,-0.11959990812414378,0.5031629912954239,-1.4683153772187985,-0.6115022104104719,-0.7655623999715662,-1.5746413287842256,-1.1388866781861628,0.9996796853277552,-0.8820134177337372,1.344232977446339,7,2.0,36.0
6.0,4.0,7.0,1.0,2.0,4.0,5.0,3.0,6.0,2.0,5.0,2.0,4.0,2.0,2.0,3.0,4.0,0.8080933953314521,-0.5587233924737429,-0.40034932934015127,-1.190405134389433,-0.6327935727266106,-0.020479952389803987,-0.5594163542423768,1.831058825674718,0.3170818948417706,-2.1226884106183297,3,2.0,6.0
4.0,1.0,3.0,4.0,7.0,6.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,-1.5885070886362431,0.6207797850272384,1.2223590672561437,2.1216320474804564,-0.6389757668308894,-0.042348939207088286,-1.0086977915188016,-0.11754951304810383,-0.0028227882523720166,0.40165746614823067,4,1.0,23.0
5.0,3.0,5.0,6.0,4.0,7.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,6.0,5.0,0.10921845819727342,-1.3990705877009686,-0.7790791764999438,1.508804752290709,-0.12099486689319583,-1.0827287474259757,-0.11480563082995338,-0.023936908561856873,-0.8431892621686795,1.4198281421740369,0,1.0,33.0
5.0,6.0,2.0,1.0,7.0,5.0,3.0,6.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,6.0,1.7385084985001276,-0.2820333062297449,1.884881654884855,0.673586972519247,-0.713897121406946,-0.017122217836540502,-0.13292230692091825,-1.6666723152473015,0.09635787529370014,-0.9067273403772274,3,8.0,21.0
4.0,4.0,4.0,2.0,5.0,7.0,1.0,3.0,6.0,2.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,-1.0833360201628606,-1.0578598161405963,-0.32153647168167576,0.24720157291800854,1.293426479086442,0.6490389494061165,-1.333529046938259,-0.6003174010949828,0.5975683198993287,-1.7132628631514355,0,1.0,10.0
8.0,1.0,5.0,6.0,2.0,3.0,4.0,1.0,7.0,2.0,4.0,2.0,4.0,1.0,2.0,5.0,8.0,2.641008595673036,-0.12035934471069056,-2.4779066308731053,-0.5577819589627417,-0.20952662710497313,1.3733605534255473,-0.5460754858541969,0.25035777684228566,-0.6984088813838027,-0.6410957339819089,3,2.0,39.0
3.0,3.0,1.0,3.0,6.0,7.0,2.0,5.0,4.0,2.0,5.0,4.0,1.0,2.0,1.0,4.0,1.0,-2.3632406942022723,1.425194538497668,1.483042462579246,0.32517323161090794,1.8772803945571899,0.770103923979724,-0.5041005575385771,-0.6875985354246481,0.9657486006023948,-0.043585915421708345,1,2.0,36.0
7.0,6.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,0.6186960378728933,-1.448469606765972,-0.6218910228399991,1.4671904305110666,0.04958097043663795,-0.37678273681977703,-0.9188305916145874,-0.45032023722789766,1.1717116184571517,0.8345474386365288,0,9.0,5.0
6.0,6.0,4.0,6.0,1.0,5.0,2.0,3.0,7.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,2.6990665697281773,2.381880509683724,-1.3958524329479947,0.6244902676066442,0.5419230259553814,0.7185441700148903,1.0446493539640085,1.9223957005472427,1.1239293802627268,-0.3786115103537505,2,1.0,44.0
1.0,1.0,3.0,1.0,7.0,6.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.9070617106181622,1.7693379747216869,1.3450470716359364,2.130049811018246,-1.2846997614192313,-1.7825179619803087,-1.5172092239376291,0.12824431814558906,0.3805850058332769,-1.4450666697544954,4,1.0,48.0
5.0,3.0,7.0,3.0,2.0,4.0,1.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,0.46906557335223076,-0.5238066521569253,-0.8319171044259238,0.981548568179679,0.5404774320810731,-0.5138421447556579,0.08468866554689053,0.8563998190497847,-1.173059073582631,-2.2857541837157784,0,4.0,33.0
