"","sub_region_1","sub_region_2","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23"
"1","Alabama","Autauga County",7,1,0,0,0,-3,-2,1,3,-5,0,5,11,10,10,13,4,8,-4,12,10,10,8,11,12,12,26,51,38,22,23,16,22,27,23,11,2,7,3,5,11,13,6,-8,1,-4,17,19,37,20,-8,-1,-2,-3,8,12,16,-51,-3,0,8,10,4,5,-26,7,7,9,-3,8,5,-4,7,3,4,16,19,12,4,20,23,18,20,11,36,20,8,10,14,19,12,13,3,8,8,18,17,9,14,13,14,1,6,14,10,18,8,14,11,21,15,9,17,7,0,2,11,17,15,17,10,9,11,14,16,16,24,15,2,7
"2","Alabama","Baldwin County",12,8,9,8,9,5,13,17,20,9,10,19,11,14,17,23,10,14,6,11,10,22,26,14,14,19,28,38,42,49,39,31,31,24,13,2,-6,-9,-9,-8,-10,-9,-14,-19,-18,-19,-4,-10,-6,-10,-27,-23,-19,-13,-11,-13,-10,-54,-18,-14,-7,-13,-17,-17,-19,-18,-13,-8,-23,-10,-12,-8,-12,-7,-12,-2,3,5,11,5,10,11,12,12,26,29,8,13,13,13,11,22,25,8,12,15,21,24,36,44,21,15,14,20,18,28,36,24,18,20,20,18,21,-3,10,12,20,22,24,36,44,26,23,28,26,26,42,47,18,20
"3","Alabama","Barbour County",-2,-4,-11,-19,-8,-24,-10,2,-9,-18,-20,-7,-6,-11,-3,-2,-4,1,-25,-16,-5,3,3,-10,-11,-8,-2,5,21,7,15,10,3,-5,5,1,-15,-14,-18,-14,-13,-13,-5,-20,-18,-21,7,-6,0,3,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"4","Alabama","Bibb County",10,-2,6,7,-3,-11,8,-2,-2,6,11,3,5,-2,3,6,8,16,-13,3,3,5,2,21,18,6,6,26,29,7,30,21,16,16,26,10,-7,7,5,2,2,-1,7,-10,-13,-20,13,-1,12,17,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,9,NA,NA,2,NA,NA,NA,-1,NA,NA,-2,NA,NA,NA,18,NA,NA,8,NA,NA,NA,17,NA,NA,-1,NA,NA,NA,19,NA,NA,3,NA,NA,NA,10
"5","Alabama","Blount County",1,7,-5,-9,3,0,-2,3,6,-9,-2,2,10,4,15,11,-2,13,1,7,2,8,11,4,2,6,22,28,31,17,21,22,18,17,13,11,-2,-12,-7,-5,2,2,6,-2,-10,-7,9,8,20,18,-17,-5,-13,-5,1,3,18,-32,1,2,13,5,-1,8,NA,2,2,1,-3,3,13,NA,0,-3,7,12,13,20,NA,11,10,15,19,-2,30,NA,3,5,8,13,5,19,NA,3,10,14,13,13,15,NA,5,4,7,13,7,15,NA,11,13,14,18,9,21,NA,1,4,11,13,7,17,NA,10,6,12,6,8,22,NA,8,5
"6","Alabama","Bullock County",2,-6,-7,-7,0,-2,-9,0,-10,NA,-11,4,NA,25,11,-4,2,7,-4,6,-6,0,0,-4,NA,7,0,25,33,-2,NA,4,4,2,16,0,-8,-2,-17,-2,-10,9,-6,-12,-11,-15,NA,-4,20,-8,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alabama","Butler County",-15,-10,-2,-11,-13,-8,-8,6,3,-15,2,0,7,6,1,12,3,10,-22,15,-1,0,3,8,-1,-1,14,22,27,23,28,7,17,27,9,2,-3,-7,-6,2,-4,-1,2,-5,-9,-22,7,18,16,3,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,NA,NA,3,10,4,14,-4,NA,NA,NA,-6,0,13,-1,NA,NA,20,0,15,13,0,NA,NA,3,-7,0,7,-7,NA,NA,5,-1,8,5,-6,NA,NA,3,-4
"8","Alabama","Calhoun County",-2,-2,-4,-8,2,-8,-2,3,1,-7,-1,4,0,5,8,9,-2,15,0,2,3,6,4,6,2,2,20,29,25,15,26,14,11,14,7,-1,-15,-16,-8,-7,-8,-3,-4,-17,-12,-13,7,2,17,13,-22,-11,-14,-12,-7,-3,1,-56,-13,-13,-4,-4,-9,-6,-28,-6,-9,-6,-10,-7,-5,-10,-6,-7,-4,0,5,3,4,5,4,6,4,-2,15,6,-3,2,3,1,-2,0,-8,0,2,3,7,2,4,1,-4,-5,-5,3,-5,0,-2,4,0,6,3,-4,2,1,-3,-6,3,1,-4,1,-2,0,1,0,1,-3,6,-2,-7,-3
"9","Alabama","Chambers County",0,-3,0,3,0,-2,-7,-2,7,-7,9,7,14,7,10,16,0,12,-2,8,1,1,9,9,11,8,16,28,24,19,22,19,13,27,16,9,-1,-5,8,4,8,4,3,1,-8,-10,8,18,13,11,-12,NA,NA,-12,NA,-4,-3,-27,-4,-2,3,5,-3,3,-34,4,8,2,-11,2,2,1,3,3,4,10,12,12,12,12,14,9,13,5,23,NA,8,11,13,13,8,9,9,2,15,15,15,11,14,16,12,9,3,14,4,11,11,8,10,14,11,-2,9,7,5,3,1,12,3,6,5,2,7,3,11,5,17,15,0,6
"10","Alabama","Cherokee County",16,3,-4,-14,1,-3,-3,12,3,-10,5,8,13,5,19,13,-2,13,3,4,1,19,18,10,5,7,25,20,61,20,15,8,14,15,7,19,1,-11,-17,-5,1,-4,28,6,-13,-14,-2,7,14,28,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,20,NA,NA,6,14,15,27,19,NA,NA,NA,9,-3,21,13,NA,NA,19,8,22,19,11,NA,NA,4,-3,19,24,26,NA,NA,9,20,16,20,15,NA,NA,10,4
