date,state,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,recovered,death
20200705,AK,1111,121621,23,,3,544,16
20200705,AL,43953,405933,885,,,22082,1007
20200705,AR,23209,315684,285,,70,16726,286
20200705,AS,0,696,,,,,0
20200705,AZ,98089,506273,3182,821,531,11361,1809
20200705,CA,260155,4419983,7149,1907,,,6331
20200705,CO,33866,316851,283,,,4568,1521
20200705,CT,46717,452952,95,,,8210,4335
20200705,DC,10482,95511,87,26,18,1542,559
20200705,DE,12128,111813,53,15,,6740,512
20200705,FL,200111,2000088,,,,,3832
20200705,GA,95516,853669,1805,,,,2860
20200705,GU,288,14666,3,,,179,5
20200705,HI,999,83326,,,,756,19
20200705,IA,31353,301119,141,43,16,24739,721
20200705,ID,7370,96896,75,18,,2858,93
20200705,IL,148373,1614455,1326,304,165,,7230
20200705,IN,48008,473714,632,218,87,36475,2693
20200705,KS,15919,175642,,,,842,277
20200705,KY,16376,379271,455,99,,4747,585
20200705,LA,65226,737228,926,,105,43026,3288
20200705,MA,109974,781711,636,100,46,93157,8183
20200705,MD,69632,510330,409,144,,5029,3243
20200705,ME,3415,104517,25,9,3,2772,109
20200705,MI,72941,1073878,548,193,92,52841,6218
20200705,MN,38136,635879,253,132,,37617,1508
20200705,MO,23436,396073,739,,72,,1028
20200705,MP,31,8187,,,,19,2
20200705,MS,30900,279241,872,175,88,19388,1111
20200705,MT,1212,98894,20,,,678,23
20200705,NC,72983,963855,949,,,45538,1396
20200705,ND,3816,109312,22,,,3324,89
20200705,NE,19827,170101,109,,,14340,284
20200705,NH,5857,117892,25,,,4597,376
20200705,NJ,173402,1361238,917,210,151,30660,15211
20200705,NM,13063,359225,121,,,5845,513
20200705,NV,22418,285279,760,226,99,727,534
20200705,NY,397131,3836672,832,178,116,70968,24904
20200705,OH,57151,811611,693,236,119,40460,2911
20200705,OK,15928,348789,391,165,,12246,398
20200705,OR,10230,253971,173,52,25,2759,215
20200705,PA,89854,734846,592,,106,70086,6753
20200705,PR,7916,,118,9,5,,155
20200705,RI,16991,233963,61,9,7,1657,960
20200705,SC,44847,385962,1251,,,16994,820
20200705,SD,7063,76940,59,,,6063,97
20200705,TN,51431,844735,949,,,30254,646
20200705,TX,195239,1938218,8181,,,100843,2637
20200705,UT,24952,346356,237,84,,14147,184
20200705,VA,65748,643607,792,202,95,8784,1853
20200705,VI,111,3060,,,,76,6
20200705,VT,1249,68775,15,,,1007,56
20200705,WA,35247,572029,305,,56,,1354
20200705,WI,34740,584111,244,65,,24899,803
20200705,WV,3262,181559,27,12,5,2421,94
20200705,WY,1634,33693,8,,,1172,20
20200704,AK,1111,121621,23,,3,544,16
20200704,AL,42862,399226,800,,,22082,1007
20200704,AR,23209,315684,285,,70,16726,286
20200704,AS,0,696,,,,,0
20200704,AZ,94553,494955,3113,796,413,10903,1805
20200704,CA,254745,4298286,7092,1888,,,6313
20200704,CO,33619,312135,270,,,4557,1521
20200704,CT,46717,452952,95,,,8210,4335
20200704,DC,10447,94107,95,28,21,1523,557
20200704,DE,11996,108697,54,13,,6711,512
20200704,FL,190052,1956445,,,,,3803
20200704,GA,93319,833040,1726,,,,2857
20200704,GU,288,14666,3,,,179,5
20200704,HI,975,82501,,,,754,19
20200704,IA,31041,297970,134,40,16,24604,721
20200704,ID,6994,94073,75,18,,2831,93
20200704,IL,147734,1587859,1346,336,182,,7224
20200704,IN,47432,464856,632,218,87,36076,2687
20200704,KS,15919,175642,,,,842,277
20200704,KY,16376,379271,455,99,,4747,585
20200704,LA,63289,720853,852,,93,43026,3278
20200704,MA,109838,775929,640,107,51,93157,8172
20200704,MD,69341,504001,410,143,,5025,3236
20200704,ME,3397,102548,27,9,3,2751,107
20200704,MI,72581,1057573,548,193,92,52841,6218
20200704,MN,37624,607548,270,132,,32347,1503
20200704,MO,23215,389046,740,,73,,1027
20200704,MP,31,8187,,,,19,2
20200704,MS,30674,279241,872,175,88,19388,1107
20200704,MT,1167,97783,20,,,678,23
20200704,NC,71654,946642,945,,,45538,1395
20200704,ND,3779,108149,22,,,3288,89
20200704,NE,19660,167928,111,,,14200,284
20200704,NH,5857,117892,25,,,4597,376
20200704,NJ,173033,1335515,983,205,164,30565,15189
20200704,NM,12776,350598,130,,,5802,511
20200704,NV,21575,279654,749,205,97,727,530
20200704,NY,396598,3773790,844,190,119,70877,24896
20200704,OH,56183,792187,691,226,111,39903,2907
20200704,OK,15645,348789,391,165,,11965,398
20200704,OR,9930,245096,173,52,25,2759,213
20200704,PA,89375,725448,589,,102,69712,6749
20200704,PR,7787,,100,8,4,,155
20200704,RI,16991,233963,61,9,7,1657,960
20200704,SC,43386,377307,1190,,,16994,813
20200704,SD,7028,76802,54,,,6062,97
20200704,TN,50140,828464,949,,,30043,637
20200704,TX,191790,1880019,7890,,,97430,2608
20200704,UT,24542,342174,255,88,,13807,181
20200704,VA,65109,634120,808,207,99,8741,1849
20200704,VI,111,3060,,,,76,6
20200704,VT,1238,68159,16,,,999,56
20200704,WA,34778,565197,315,,58,,1352
20200704,WI,34207,579637,235,67,,24491,803
20200704,WV,3141,178288,25,11,4,2402,94
20200704,WY,1606,33693,8,,,1169,20
20200703,AK,1063,119145,25,,3,539,15
20200703,AL,41865,388766,812,,,22082,1006
20200703,AR,22622,308615,285,,70,16164,281
20200703,AS,0,696,,,,,0
20200703,AZ,91858,486523,3013,741,489,10478,1788
20200703,CA,248235,4199941,7024,1871,,,6263
20200703,CO,33352,306938,270,,,4541,1521
20200703,CT,46717,452952,95,,,8210,4335
20200703,DC,10435,92374,110,38,24,1497,555
20200703,DE,11923,106420,57,13,,6692,512
20200703,FL,178594,1902766,,,,,3785
20200703,GA,90493,810724,1671,,,,2856
20200703,GU,286,14263,2,,,179,5
20200703,HI,946,80672,,,,746,18
20200703,IA,30429,291032,146,40,20,24338,720
20200703,ID,6593,92116,42,15,,2801,92
20200703,IL,146872,1554885,1349,334,164,,7215
20200703,IN,46915,457238,633,217,81,35756,2681
20200703,KS,15919,175642,,,,842,277
20200703,KY,16376,379271,455,99,,4747,585
20200703,LA,63289,720853,852,,93,43026,3278
20200703,MA,109628,768152,656,106,55,93157,8149
20200703,MD,68961,494873,422,143,,5023,3223
20200703,ME,3373,100076,27,9,3,2731,105
20200703,MI,72175,1036090,548,193,92,51099,6215
20200703,MN,37624,607548,270,132,,32347,1503
20200703,MO,22830,382129,716,,78,,1026
20200703,MP,31,8187,,,,19,2
20200703,MS,28770,270269,863,167,94,19388,1092
20200703,MT,1128,96375,17,,,678,23
20200703,NC,70241,929052,951,,,45538,1392
20200703,ND,3722,106852,20,,,3266,89
20200703,NE,19452,164682,121,,,14022,282
20200703,NH,5822,116365,31,,,4508,375
20200703,NJ,172742,1312759,1028,216,167,30464,15164
20200703,NM,12520,344117,127,,,5627,503
20200703,NV,20718,272967,704,219,87,727,528
20200703,NY,395872,3712113,857,188,125,70794,24885
20200703,OH,55257,772900,740,233,100,39423,2903
20200703,OK,15065,348789,391,165,,11519,398
20200703,OR,9294,241760,173,52,25,2759,209
20200703,PA,88741,715403,598,,105,69217,6746
20200703,PR,7683,,104,11,6,,154
20200703,RI,16991,233963,61,9,7,1657,960
20200703,SC,41532,367500,1148,,,16994,793
20200703,SD,6978,76015,58,,,6049,97
20200703,TN,48712,813777,949,,,29591,633
20200703,TX,183532,1830374,7652,,,93572,2575
20200703,UT,23866,332770,232,85,,13408,181
20200703,VA,64393,623967,818,207,95,8711,1845
20200703,VI,98,2963,,,,75,6
20200703,VT,1236,67159,16,,,967,56
20200703,WA,34151,550838,334,,62,,1342
20200703,WI,33431,573553,244,75,,24043,803
20200703,WV,3126,177576,25,11,4,2396,93
20200703,WY,1582,33693,8,,,1154,20
20200702,AK,1017,114892,18,,1,535,14
20200702,AL,40111,379617,843,,,22082,985
20200702,AR,22075,301912,272,,72,15698,279
20200702,AS,0,696,,,,,0
20200702,AZ,87425,473414,2938,723,488,10137,1757
20200702,CA,240195,4098523,6812,1934,,,6163
20200702,CO,33029,300226,262,,,4524,1520
20200702,CT,46646,442560,101,,,8210,4326
20200702,DC,10390,90673,120,33,28,1465,554
20200702,DE,11731,103187,67,16,,6678,510
20200702,FL,169106,1863077,,,,,3718
20200702,GA,87709,795530,1649,,,,2849
20200702,GU,280,13653,1,,,179,5
20200702,HI,926,79364,,,,741,18
20200702,IA,30209,287329,145,36,18,23993,718
20200702,ID,6370,88751,42,15,,4393,92
20200702,IL,145935,1521435,1651,349,195,,7188
20200702,IN,46387,450448,644,221,89,35405,2662
20200702,KS,14990,168183,,,,834,272
20200702,KY,16079,369715,430,73,,4726,581
20200702,LA,61561,705813,840,,91,43026,3255
20200702,MA,109338,756920,681,113,52,93157,8132
20200702,MD,68423,484752,441,149,,5013,3212
20200702,ME,3328,97489,30,9,3,2698,105
20200702,MI,71678,1013459,548,193,103,51099,6212
20200702,MN,37210,593217,274,123,,32163,1495
20200702,MO,22283,375035,716,,77,,1022
20200702,MP,30,8187,,,,19,2
20200702,MS,28770,270269,863,167,94,19388,1092
20200702,MT,1083,94066,14,,,672,22
20200702,NC,68142,902978,912,,,45538,1391
20200702,ND,3657,104538,19,,,3235,78
20200702,NE,19310,163352,117,,,13807,276
20200702,NH,5802,114505,32,,,4491,373
20200702,NJ,172356,1291557,1027,216,170,30383,15107
20200702,NM,12276,337784,127,,,5514,500
20200702,NV,19733,264995,662,196,78,727,525
20200702,NY,394954,3646639,878,209,129,70698,24877
20200702,OH,52865,739140,724,244,116,38987,2876
20200702,OK,14539,338511,368,163,,11048,395
20200702,OR,9294,241760,173,52,25,2759,209
20200702,PA,88074,702199,631,,106,68697,6712
20200702,PR,7608,,97,8,3,,153
20200702,RI,16941,231327,67,11,10,1644,959
20200702,SC,39701,361700,1125,,,15471,784
20200702,SD,6893,75048,64,,,5982,97
20200702,TN,46890,791564,949,,,28938,620
20200702,TX,175977,1799826,7382,,,90720,2525
20200702,UT,23270,323116,229,81,,13076,176
20200702,VA,63735,610521,888,206,95,8496,1816
20200702,VI,92,2924,,,,75,6
20200702,VT,1227,66114,21,,,960,56
20200702,WA,33435,538529,311,,57,,1339
20200702,WI,32809,563946,236,74,,23527,800
20200702,WV,3053,175288,23,10,5,2380,93
20200702,WY,1550,33693,9,,,1139,20
20200701,AK,978,113422,20,,2,528,14
20200701,AL,38962,374991,797,,,18866,972
20200701,AR,21197,293661,275,,72,15163,277
20200701,AS,0,696,,,,,0
20200701,AZ,84092,465504,2876,675,466,9715,1720
20200701,CA,232657,4021519,6612,1859,,,6090
20200701,CO,32715,294788,237,,,4502,1520
20200701,CT,46572,431269,100,,,8053,4324
20200701,DC,10365,89670,119,33,26,1451,553
20200701,DE,11510,99874,68,13,,6676,509
20200701,FL,158997,1821357,,,,,3650
20200701,GA,84237,770801,1570,,,,2827
20200701,GU,267,13517,0,,,179,5
20200701,HI,917,78141,,,,736,18
20200701,IA,29451,280339,149,37,21,23607,717
20200701,ID,6117,84923,42,15,,4233,92
20200701,IL,145066,1492042,1511,384,189,,7152
20200701,IN,45952,443764,668,232,103,35025,2650
20200701,KS,14990,168183,,,,834,272
20200701,KY,15842,361248,427,73,,4052,572
20200701,LA,60178,691910,799,,84,43026,3238
20200701,MA,109143,749292,760,123,65,93157,8081
20200701,MD,67918,474686,461,154,,5001,3205
20200701,ME,3294,93947,29,8,3,2671,105
20200701,MI,71089,990770,471,179,103,51099,6198
20200701,MN,36716,580391,260,125,,31947,1482
20200701,MO,21927,367813,592,,75,,1017
20200701,MP,30,8187,,,,19,2
20200701,MS,27900,265852,786,160,85,19388,1082
20200701,MT,1016,92314,14,,,658,22
20200701,NC,66513,875725,901,,,45538,1373
20200701,ND,3615,103611,20,,,3210,78
20200701,NE,19177,161431,120,,,13737,274
20200701,NH,5782,113387,37,,,4463,371
20200701,NJ,171928,1271009,1080,217,178,30300,15078
20200701,NM,12147,332034,127,,,5393,497
20200701,NV,19101,264995,630,142,74,714,511
20200701,NY,394079,3577569,879,226,139,70590,24866
20200701,OH,52865,739140,724,244,116,,2876
20200701,OK,14112,332201,374,159,,10605,389
20200701,OR,8931,234429,192,62,24,2722,208
20200701,PA,87242,689562,632,,111,68048,6649
20200701,PR,7537,,121,7,3,,153
20200701,RI,16853,227362,69,11,11,1638,956
20200701,SC,37919,351953,1160,,,15471,766
20200701,SD,6826,74117,65,,,5933,93
20200701,TN,45315,772571,955,,,28283,609
20200701,TX,168062,1753886,6904,,,87556,2481
