,,,,,CONSUMERS ONLY,,,,,,,,,,
Country of the dietary survey,Dietary survey,Population Class,Level 1 FoodEx Name,Level 1 FoodEx Code,Number of consumers,Percentage of consumers,Mean consumption in grams/day,Standard Deviation of consumption in grams/day,5th percentile of consumption in grams/day,10th percentile of consumption in grams/day,Median consumption in grams/day,95th percentile of consumption in grams/day,97.5th percentile of consumption in grams/day,99th percentile of consumption in grams/day,Comment
Country,Survey,Pop Class,Foodex L1,Metrics,Nr Consumers,% Consumers,Mean,STD,P5,P10,Median,P95,P97.5,P99,Comment
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Grains and grain-based products,A.01.000001,305,99.0%,248.26,120.64,75.00,100.00,241.00,477.25,527.75,578.25, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Vegetables and vegetable products (including fungi,A.01.000317,246,79.9%,112.08,92.80,10.00,20.00,93.69,303.00,356.50,431.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Starchy roots and tubers,A.01.000467,109,35.4%,88.38,53.14,32.50,35.00,70.50,219.50,243.75,250.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,"Legumes, nuts and oilseeds",A.01.000486,71,23.1%,34.18,40.93,3.00,5.00,20.00,100.00,190.50,270.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Fruit and fruit products,A.01.000544,263,85.4%,191.56,149.53,25.00,35.00,152.50,447.00,554.25,809.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Meat and meat products (including edible offal),A.01.000727,251,81.5%,101.66,92.68,12.50,21.50,86.00,258.00,320.50,407.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,"Fish and other seafood (including amphibians, rept",A.01.000876,64,20.8%,75.15,43.44,10.50,15.00,77.75,142.50,148.00,211.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Milk and dairy products,A.01.000948,294,95.5%,157.44,137.73,20.00,25.00,123.50,390.00,528.50,637.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Eggs and egg products,A.01.001252,33,10.7%,31.52,10.36,15.00,30.00,30.00,60.00,60.00,60.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Sugar and confectionary,A.01.001267,223,72.4%,24.17,24.01,2.50,4.15,16.65,74.50,88.80,114.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Animal and vegetable fats and oils,A.01.001346,263,85.4%,14.92,11.13,1.46,3.88,13.30,31.98,35.00,44.63, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Fruit and vegetable juices,A.01.001394,156,50.6%,218.09,200.29,15.00,27.00,137.50,640.00,795.00,890.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Non-alcoholic beverages (excepting milk based beve,A.01.001470,287,93.2%,552.83,492.66,125.00,180.00,430.00,"1,380.00","1,640.00","3,350.00", 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Alcoholic beverages,A.01.001534,144,46.8%,319.79,337.95,40.00,62.50,226.25,995.00,"1,125.00","1,625.00", 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Drinking water (water without any additives except,A.01.001573,300,97.4%,"1,175.26",631.36,312.50,375.00,"1,117.50","2,350.00","2,625.00","2,750.00", 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,"Herbs, spices and condiments",A.01.001580,270,87.7%,34.17,38.50,0.71,1.10,20.56,116.65,142.65,164.81, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Products for special nutritional use,A.01.001748,11,3.6%,160.68,207.69,10.00,15.00,25.00,500.00,500.00,500.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Composite food (including frozen products),A.01.001789,281,91.2%,239.31,151.60,55.00,72.50,211.00,526.00,584.00,747.50, 
