LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,HHSAV,TOT,PC_HHDI,A,2015,6.73666489091466,
AUT,HHSAV,TOT,PC_HHDI,A,2016,7.69505833451046,
AUT,HHSAV,TOT,PC_HHDI,A,2017,7.34799984665811,
AUT,HHSAV,TOT,PC_HHDI,A,2018,7.68278975011525,
BEL,HHSAV,TOT,PC_HHDI,A,2015,5.52605837659284,
BEL,HHSAV,TOT,PC_HHDI,A,2016,5.41460568117549,
BEL,HHSAV,TOT,PC_HHDI,A,2017,5.20785626174654,
BEL,HHSAV,TOT,PC_HHDI,A,2018,4.83995242994347,
DNK,HHSAV,TOT,PC_HHDI,A,2015,3.90863198381378,
DNK,HHSAV,TOT,PC_HHDI,A,2016,5.61316419164871,
DNK,HHSAV,TOT,PC_HHDI,A,2017,6.60796162857114,
DNK,HHSAV,TOT,PC_HHDI,A,2018,6.64209173808365,
FIN,HHSAV,TOT,PC_HHDI,A,2015,-0.464174781000244,
FIN,HHSAV,TOT,PC_HHDI,A,2016,-1.37692598057719,
FIN,HHSAV,TOT,PC_HHDI,A,2017,-1.23169724847933,
FIN,HHSAV,TOT,PC_HHDI,A,2018,-0.798305637015314,
FIN,HHSAV,TOT,PC_HHDI,A,2019,0.379526105241563,
FRA,HHSAV,TOT,PC_HHDI,A,2015,8.3280675806316,
FRA,HHSAV,TOT,PC_HHDI,A,2016,8.18294459978975,
FRA,HHSAV,TOT,PC_HHDI,A,2017,8.12688450032761,E
FRA,HHSAV,TOT,PC_HHDI,A,2018,8.37860228544106,E
DEU,HHSAV,TOT,PC_HHDI,A,2015,10.0618971733418,
DEU,HHSAV,TOT,PC_HHDI,A,2016,10.1537648843155,
DEU,HHSAV,TOT,PC_HHDI,A,2017,10.422559002539,
DEU,HHSAV,TOT,PC_HHDI,A,2018,10.9535209843456,
GRC,HHSAV,TOT,PC_HHDI,A,2015,-15.4661462595158,E
GRC,HHSAV,TOT,PC_HHDI,A,2016,-16.9969957223223,E
GRC,HHSAV,TOT,PC_HHDI,A,2017,-16.9124828695077,E
GRC,HHSAV,TOT,PC_HHDI,A,2018,-15.0604128554869,E
HUN,HHSAV,TOT,PC_HHDI,A,2015,7.29216092591449,
HUN,HHSAV,TOT,PC_HHDI,A,2016,7.02223131603299,
HUN,HHSAV,TOT,PC_HHDI,A,2017,6.64144130289979,
HUN,HHSAV,TOT,PC_HHDI,A,2018,6.88844883553673,
IRL,HHSAV,TOT,PC_HHDI,A,2015,3.87467294986736,
IRL,HHSAV,TOT,PC_HHDI,A,2016,3.24922762417952,
IRL,HHSAV,TOT,PC_HHDI,A,2017,5.96873004379642,
IRL,HHSAV,TOT,PC_HHDI,A,2018,5.77890054415259,
ITA,HHSAV,TOT,PC_HHDI,A,2015,2.88625676146638,
ITA,HHSAV,TOT,PC_HHDI,A,2016,3.00369470793047,
ITA,HHSAV,TOT,PC_HHDI,A,2017,2.59856861041047,
ITA,HHSAV,TOT,PC_HHDI,A,2018,2.52934658630379,
ITA,HHSAV,TOT,PC_HHDI,A,2019,2.65711537601622,
LUX,HHSAV,TOT,PC_HHDI,A,2015,15.0957866910349,
LUX,HHSAV,TOT,PC_HHDI,A,2016,13.7151040224867,
LUX,HHSAV,TOT,PC_HHDI,A,2017,16.0958239878256,
LUX,HHSAV,TOT,PC_HHDI,A,2018,16.0430782868648,
NLD,HHSAV,TOT,PC_HHDI,A,2015,9.5484347853923,
NLD,HHSAV,TOT,PC_HHDI,A,2016,10.2536142371553,
NLD,HHSAV,TOT,PC_HHDI,A,2017,8.78682895422632,
NLD,HHSAV,TOT,PC_HHDI,A,2018,8.3985889233163,E
POL,HHSAV,TOT,PC_HHDI,A,2015,-0.432299228241767,
POL,HHSAV,TOT,PC_HHDI,A,2016,1.4670761141359,
POL,HHSAV,TOT,PC_HHDI,A,2017,0.309083284927185,
POL,HHSAV,TOT,PC_HHDI,A,2018,-0.955625283091146,E
PRT,HHSAV,TOT,PC_HHDI,A,2015,-1.19186938909014,
PRT,HHSAV,TOT,PC_HHDI,A,2016,-1.30554464616626,
PRT,HHSAV,TOT,PC_HHDI,A,2017,-2.24142170232875,
PRT,HHSAV,TOT,PC_HHDI,A,2018,-2.20511977691142,E
PRT,HHSAV,TOT,PC_HHDI,A,2019,-2.04916824037667,E
SVK,HHSAV,TOT,PC_HHDI,A,2015,3.08807076119703,
SVK,HHSAV,TOT,PC_HHDI,A,2016,2.98830598810629,
SVK,HHSAV,TOT,PC_HHDI,A,2017,2.4948577114409,
SVK,HHSAV,TOT,PC_HHDI,A,2018,3.14236179021918,
SVK,HHSAV,TOT,PC_HHDI,A,2019,3.47140464833278,
ESP,HHSAV,TOT,PC_HHDI,A,2015,3.1700230622558,
ESP,HHSAV,TOT,PC_HHDI,A,2016,2.97293333014033,
ESP,HHSAV,TOT,PC_HHDI,A,2017,1.30544237485448,
ESP,HHSAV,TOT,PC_HHDI,A,2018,1.66625273440843,
SWE,HHSAV,TOT,PC_HHDI,A,2015,12.1478013250305,
SWE,HHSAV,TOT,PC_HHDI,A,2016,13.9108623268582,
SWE,HHSAV,TOT,PC_HHDI,A,2017,13.3131267099678,
SWE,HHSAV,TOT,PC_HHDI,A,2018,15.3505342306851,
SWE,HHSAV,TOT,PC_HHDI,A,2019,16.5071086848933,
GBR,HHSAV,TOT,PC_HHDI,A,2015,4.72826870405074,
GBR,HHSAV,TOT,PC_HHDI,A,2016,1.73875486181184,
GBR,HHSAV,TOT,PC_HHDI,A,2017,-0.33298693752584,
GBR,HHSAV,TOT,PC_HHDI,A,2018,0.366175164327589,
EST,HHSAV,TOT,PC_HHDI,A,2015,5.67643857677571,
EST,HHSAV,TOT,PC_HHDI,A,2016,5.75331195325487,
EST,HHSAV,TOT,PC_HHDI,A,2017,6.40682476324646,
EST,HHSAV,TOT,PC_HHDI,A,2018,7.39276480236064,
SVN,HHSAV,TOT,PC_HHDI,A,2015,2.78871930613699,
SVN,HHSAV,TOT,PC_HHDI,A,2016,3.37277780688845,
SVN,HHSAV,TOT,PC_HHDI,A,2017,4.8103002453383,
SVN,HHSAV,TOT,PC_HHDI,A,2018,5.69540626556244,
LVA,HHSAV,TOT,PC_HHDI,A,2015,-8.8583448400192,
LVA,HHSAV,TOT,PC_HHDI,A,2016,-5.01169826385738,
LVA,HHSAV,TOT,PC_HHDI,A,2017,-5.10342851597946,
LVA,HHSAV,TOT,PC_HHDI,A,2018,-2.58738582118999,
LTU,HHSAV,TOT,PC_HHDI,A,2015,-3.42907118763097,
LTU,HHSAV,TOT,PC_HHDI,A,2016,-0.822372608549303,
LTU,HHSAV,TOT,PC_HHDI,A,2017,-3.56776386097856,
LTU,HHSAV,TOT,PC_HHDI,A,2018,-5.06777301118466,
