LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,HHDI,NET,AGRWTH,A,2015,-0.049780293657959,
AUT,HHDI,NET,AGRWTH,A,2016,2.54480296858192,
AUT,HHDI,NET,AGRWTH,A,2017,1.15528909935149,
AUT,HHDI,NET,AGRWTH,A,2018,1.3195137778606,
BEL,HHDI,NET,AGRWTH,A,2015,0.790981325887568,
BEL,HHDI,NET,AGRWTH,A,2016,1.81824836285145,
BEL,HHDI,NET,AGRWTH,A,2017,1.55048772557546,
BEL,HHDI,NET,AGRWTH,A,2018,0.853548168333139,
CZE,HHDI,NET,AGRWTH,A,2015,3.55257565716471,
CZE,HHDI,NET,AGRWTH,A,2016,3.22113679794554,
CZE,HHDI,NET,AGRWTH,A,2017,1.94708884421791,
CZE,HHDI,NET,AGRWTH,A,2018,4.65727991150479,
DNK,HHDI,NET,AGRWTH,A,2015,3.58712102877075,
DNK,HHDI,NET,AGRWTH,A,2016,3.36022062995889,
DNK,HHDI,NET,AGRWTH,A,2017,1.59941758433889,
DNK,HHDI,NET,AGRWTH,A,2018,1.73189696691103,
FIN,HHDI,NET,AGRWTH,A,2015,1.12905044719661,
FIN,HHDI,NET,AGRWTH,A,2016,1.80159359840046,
FIN,HHDI,NET,AGRWTH,A,2017,0.778918639070617,
FIN,HHDI,NET,AGRWTH,A,2018,2.08473187922571,
FIN,HHDI,NET,AGRWTH,A,2019,1.93263383154438,
FRA,HHDI,NET,AGRWTH,A,2015,0.991272478456992,
FRA,HHDI,NET,AGRWTH,A,2016,1.6944539727701,
FRA,HHDI,NET,AGRWTH,A,2017,1.42162180673024,E
FRA,HHDI,NET,AGRWTH,A,2018,1.0393261166252,E
DEU,HHDI,NET,AGRWTH,A,2015,2.39080015553546,
DEU,HHDI,NET,AGRWTH,A,2016,2.95901899064396,
DEU,HHDI,NET,AGRWTH,A,2017,1.61496559986795,
DEU,HHDI,NET,AGRWTH,A,2018,1.9482442335326,
GRC,HHDI,NET,AGRWTH,A,2015,-1.41160396985553,E
GRC,HHDI,NET,AGRWTH,A,2016,-1.20236729034857,E
GRC,HHDI,NET,AGRWTH,A,2017,0.869847124231609,E
GRC,HHDI,NET,AGRWTH,A,2018,2.67547229399975,E
HUN,HHDI,NET,AGRWTH,A,2015,3.53626383482346,
HUN,HHDI,NET,AGRWTH,A,2016,3.94728364246945,
HUN,HHDI,NET,AGRWTH,A,2017,3.83696178483125,
HUN,HHDI,NET,AGRWTH,A,2018,4.25324062729441,
IRL,HHDI,NET,AGRWTH,A,2015,3.65430506025911,
IRL,HHDI,NET,AGRWTH,A,2016,4.82283815304684,
IRL,HHDI,NET,AGRWTH,A,2017,5.09690894574516,
IRL,HHDI,NET,AGRWTH,A,2018,3.43350243354729,
ITA,HHDI,NET,AGRWTH,A,2015,0.991612476277527,
ITA,HHDI,NET,AGRWTH,A,2016,1.09722014903943,
ITA,HHDI,NET,AGRWTH,A,2017,0.972043607969886,
ITA,HHDI,NET,AGRWTH,A,2018,0.790808334067529,
ITA,HHDI,NET,AGRWTH,A,2019,0.505371951972855,
LUX,HHDI,NET,AGRWTH,A,2015,0.929170751429442,
LUX,HHDI,NET,AGRWTH,A,2016,1.53522107304062,
LUX,HHDI,NET,AGRWTH,A,2017,4.9433356530651,
LUX,HHDI,NET,AGRWTH,A,2018,3.28891150677964,
