LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,HHSAVFORECAST,NET,PC_HHDI,A,2015,6.73664961610987,
AUT,HHSAVFORECAST,NET,PC_HHDI,A,2016,7.6950899817492,
AUT,HHSAVFORECAST,NET,PC_HHDI,A,2017,7.34801168564891,
AUT,HHSAVFORECAST,NET,PC_HHDI,A,2018,7.68281237070661,
AUT,HHSAVFORECAST,NET,PC_HHDI,A,2019,7.71513820782258,
AUT,HHSAVFORECAST,NET,PC_HHDI,A,2020,8.04234455330788,
AUT,HHSAVFORECAST,NET,PC_HHDI,A,2021,7.91964564151355,
HUN,HHSAVFORECAST,NET,PC_HHDI,A,2015,7.29216092591447,
HUN,HHSAVFORECAST,NET,PC_HHDI,A,2016,7.02223131603301,
HUN,HHSAVFORECAST,NET,PC_HHDI,A,2017,6.63947898524198,
HUN,HHSAVFORECAST,NET,PC_HHDI,A,2018,6.8866419400007,
HUN,HHSAVFORECAST,NET,PC_HHDI,A,2019,6.5859984027018,
HUN,HHSAVFORECAST,NET,PC_HHDI,A,2020,6.19566526945927,
HUN,HHSAVFORECAST,NET,PC_HHDI,A,2021,5.9910025249092,
CZE,HHSAVFORECAST,NET,PC_HHDI,A,2015,6.84349652704584,
CZE,HHSAVFORECAST,NET,PC_HHDI,A,2016,6.50043859063983,
CZE,HHSAVFORECAST,NET,PC_HHDI,A,2017,4.38774939474083,
CZE,HHSAVFORECAST,NET,PC_HHDI,A,2018,5.96533363661571,
CZE,HHSAVFORECAST,NET,PC_HHDI,A,2019,6.66525962758875,
CZE,HHSAVFORECAST,NET,PC_HHDI,A,2020,6.621997690286,
CZE,HHSAVFORECAST,NET,PC_HHDI,A,2021,6.46436250686486,
EST,HHSAVFORECAST,NET,PC_HHDI,A,2015,6.79353452935634,
EST,HHSAVFORECAST,NET,PC_HHDI,A,2016,6.52854102823148,
EST,HHSAVFORECAST,NET,PC_HHDI,A,2017,7.87968508981905,
EST,HHSAVFORECAST,NET,PC_HHDI,A,2018,8.22869966000209,
EST,HHSAVFORECAST,NET,PC_HHDI,A,2019,9.60330673326126,
EST,HHSAVFORECAST,NET,PC_HHDI,A,2020,7.74253517790203,
EST,HHSAVFORECAST,NET,PC_HHDI,A,2021,6.82691043351005,
SVK,HHSAVFORECAST,NET,PC_HHDI,A,2015,3.08807076119701,
SVK,HHSAVFORECAST,NET,PC_HHDI,A,2016,2.90575256868198,
SVK,HHSAVFORECAST,NET,PC_HHDI,A,2017,2.47732729071941,
SVK,HHSAVFORECAST,NET,PC_HHDI,A,2018,2.59136894247901,
SVK,HHSAVFORECAST,NET,PC_HHDI,A,2019,4.01680876370124,
SVK,HHSAVFORECAST,NET,PC_HHDI,A,2020,4.36464336376608,
SVK,HHSAVFORECAST,NET,PC_HHDI,A,2021,4.36996831277664,
SVN,HHSAVFORECAST,NET,PC_HHDI,A,2015,2.78872865142805,
SVN,HHSAVFORECAST,NET,PC_HHDI,A,2016,3.3727565226317,
SVN,HHSAVFORECAST,NET,PC_HHDI,A,2017,4.56284433177692,
SVN,HHSAVFORECAST,NET,PC_HHDI,A,2018,4.99543580881661,
SVN,HHSAVFORECAST,NET,PC_HHDI,A,2019,5.96838630355702,
SVN,HHSAVFORECAST,NET,PC_HHDI,A,2020,5.73016256442163,
SVN,HHSAVFORECAST,NET,PC_HHDI,A,2021,5.17150675015859,
NLD,HHSAVFORECAST,NET,PC_HHDI,A,2015,9.54843478539232,
NLD,HHSAVFORECAST,NET,PC_HHDI,A,2016,10.2536142371553,
NLD,HHSAVFORECAST,NET,PC_HHDI,A,2017,8.78682895422634,
NLD,HHSAVFORECAST,NET,PC_HHDI,A,2018,8.3985889233163,
NLD,HHSAVFORECAST,NET,PC_HHDI,A,2019,7.82139768221326,
NLD,HHSAVFORECAST,NET,PC_HHDI,A,2020,7.96754071957506,
NLD,HHSAVFORECAST,NET,PC_HHDI,A,2021,8.07189955290791,
FIN,HHSAVFORECAST,NET,PC_HHDI,A,2015,-0.451939939101736,
FIN,HHSAVFORECAST,NET,PC_HHDI,A,2016,-1.34741067293322,
FIN,HHSAVFORECAST,NET,PC_HHDI,A,2017,-1.10911018731991,
FIN,HHSAVFORECAST,NET,PC_HHDI,A,2018,-1.17117854011993,
FIN,HHSAVFORECAST,NET,PC_HHDI,A,2019,-0.399976528196312,
FIN,HHSAVFORECAST,NET,PC_HHDI,A,2020,0.0867366946297772,
FIN,HHSAVFORECAST,NET,PC_HHDI,A,2021,0.393583935265271,
LUX,HHSAVFORECAST,NET,PC_HHDI,A,2015,15.0280101560125,
LUX,HHSAVFORECAST,NET,PC_HHDI,A,2016,13.6631571508285,
LUX,HHSAVFORECAST,NET,PC_HHDI,A,2017,16.0432601800428,
LUX,HHSAVFORECAST,NET,PC_HHDI,A,2018,15.9967612499661,
LUX,HHSAVFORECAST,NET,PC_HHDI,A,2019,14.5277148131418,
LUX,HHSAVFORECAST,NET,PC_HHDI,A,2020,13.5789841392532,
LUX,HHSAVFORECAST,NET,PC_HHDI,A,2021,13.1808943364734,
BEL,HHSAVFORECAST,NET,PC_HHDI,A,2015,5.52605837659283,
BEL,HHSAVFORECAST,NET,PC_HHDI,A,2016,5.41460568117548,
BEL,HHSAVFORECAST,NET,PC_HHDI,A,2017,5.20785626174655,
BEL,HHSAVFORECAST,NET,PC_HHDI,A,2018,4.83995242994345,
BEL,HHSAVFORECAST,NET,PC_HHDI,A,2019,5.10654901656016,
BEL,HHSAVFORECAST,NET,PC_HHDI,A,2020,5.17938067945967,
BEL,HHSAVFORECAST,NET,PC_HHDI,A,2021,5.15737551435074,
POL,HHSAVFORECAST,NET,PC_HHDI,A,2015,-0.44448350405461,
POL,HHSAVFORECAST,NET,PC_HHDI,A,2016,1.46074221349433,
POL,HHSAVFORECAST,NET,PC_HHDI,A,2017,0.385172821189142,
POL,HHSAVFORECAST,NET,PC_HHDI,A,2018,0.309933075824715,
POL,HHSAVFORECAST,NET,PC_HHDI,A,2019,1.3760107336509,
POL,HHSAVFORECAST,NET,PC_HHDI,A,2020,1.94140331924887,
POL,HHSAVFORECAST,NET,PC_HHDI,A,2021,1.51126778198269,
ITA,HHSAVFORECAST,NET,PC_HHDI,A,2015,2.88626613689021,
ITA,HHSAVFORECAST,NET,PC_HHDI,A,2016,3.00965548052118,
ITA,HHSAVFORECAST,NET,PC_HHDI,A,2017,2.53735220184337,
ITA,HHSAVFORECAST,NET,PC_HHDI,A,2018,2.45136777377669,
ITA,HHSAVFORECAST,NET,PC_HHDI,A,2019,4.31022783692973,
ITA,HHSAVFORECAST,NET,PC_HHDI,A,2020,5.15416538969595,
ITA,HHSAVFORECAST,NET,PC_HHDI,A,2021,5.25296086640907,
DEU,HHSAVFORECAST,NET,PC_HHDI,A,2015,10.0617457198989,
DEU,HHSAVFORECAST,NET,PC_HHDI,A,2016,10.153520237006,
DEU,HHSAVFORECAST,NET,PC_HHDI,A,2017,10.4224644321604,
DEU,HHSAVFORECAST,NET,PC_HHDI,A,2018,10.9533845614096,
DEU,HHSAVFORECAST,NET,PC_HHDI,A,2019,10.963899843492,
DEU,HHSAVFORECAST,NET,PC_HHDI,A,2020,10.9493646712835,
DEU,HHSAVFORECAST,NET,PC_HHDI,A,2021,10.7963554782393,
DNK,HHSAVFORECAST,NET,PC_HHDI,A,2015,3.90872823100604,
DNK,HHSAVFORECAST,NET,PC_HHDI,A,2016,4.48545560594603,
DNK,HHSAVFORECAST,NET,PC_HHDI,A,2017,6.19786162338827,
DNK,HHSAVFORECAST,NET,PC_HHDI,A,2018,6.57213153174187,
DNK,HHSAVFORECAST,NET,PC_HHDI,A,2019,3.88145820224368,
DNK,HHSAVFORECAST,NET,PC_HHDI,A,2020,6.76306181556563,
DNK,HHSAVFORECAST,NET,PC_HHDI,A,2021,6.8482774213587,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2015,12.1478013250305,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2016,13.9108623268582,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2017,13.3130181813933,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2018,15.3998046184864,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2019,17.1391355489034,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2020,17.3310337179347,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2021,17.6416597395866,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2015,3.87467675493831,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2016,3.24922944911747,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2017,5.96873520023627,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2018,5.7789120806988,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2019,5.76317421584856,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2020,5.601413807257,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2021,5.20138280381675,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2015,3.03265761434009,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2016,2.82793034651365,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2017,1.15023443386807,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2018,1.51756391573368,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2019,2.32396203104787,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2020,2.56039333764052,
