Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","351","China","5510","Production","56","Maize","2000","2000","tonnes","106178315","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2001","2001","tonnes","114255995","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2002","2002","tonnes","120188915","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2003","2003","tonnes","115997909","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2004","2004","tonnes","130434297","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2005","2005","tonnes","139498473","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2006","2006","tonnes","151731441","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2007","2007","tonnes","152418870","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2008","2008","tonnes","166032097","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2009","2009","tonnes","164107560","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2010","2010","tonnes","177540788","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2011","2011","tonnes","192904232","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2012","2012","tonnes","205719284","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2013","2013","tonnes","218621905","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2014","2014","tonnes","215812100","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2015","2015","tonnes","265157307","A","Aggregate, may include official, semi-official, estimated or calculated data",""
