Date-Monthly,"India, Retail, Patna, Onions, USD/tonne" Commodity Code: 71110 ,"India, Retail, Patna, Onions, Indian Rupee-real/tonne" Commodity Code: 71110 ,"India, Retail, Patna, Wheat, USD/tonne" Commodity Code: 1001 ,"India, Retail, Patna, Wheat, Indian Rupee-real/tonne" Commodity Code: 1001 ,"India, Wholesale, Patna, Wheat, USD/tonne" Commodity Code: 1001 ,"India, Wholesale, Patna, Wheat, Indian Rupee-real/tonne" Commodity Code: 1001 ,"India, Wholesale, Patna, Rice, USD/tonne" Commodity Code: 1006 ,"India, Wholesale, Patna, Rice, Indian Rupee-real/tonne" Commodity Code: 1006 ,"India, Retail, Patna, Rice, USD/tonne" Commodity Code: 1006 ,"India, Retail, Patna, Rice, Indian Rupee-real/tonne" Commodity Code: 1006 ,"India, Retail, Patna, Wheat (flour), USD/tonne" Commodity Code: 1001_14 ,"India, Retail, Patna, Wheat (flour), Indian Rupee-real/tonne" Commodity Code: 1001_14 
May-20,250.00,"10,064.44",260.00,"10,701.16",237.90,"9,631.05",370.10,"14,981.63",400.00,"16,051.75",330.00,"13,376.45"
Apr-20,280.00,"11,442.76",280.00,"11,335.32",249.20,"10,198.18",373.60,"15,292.84",390.00,"16,116.56",350.00,"14,166.46"
Mar-20,390.00,"15,783.93",340.00,"13,760.35",281.90,"11,309.55",423.70,"16,998.08",450.00,"18,077.33",390.00,"15,584.27"
Feb-20,460.00,"17,698.93",350.00,"13,231.29",273.60,"10,491.98",451.10,"17,296.68",480.00,"18,369.35",400.00,"15,355.17"
Jan-20,860.00,"32,517.93",340.00,"12,793.94",259.40,"9,861.99",452.10,"17,186.52",480.00,"18,252.69",430.00,"16,163.01"
Dec-19,"1,360.00","51,442.30",340.00,"12,863.24",260.80,"9,895.31",451.30,"17,125.22",480.00,"18,194.05",400.00,"15,128.83"
Nov-19,900.00,"34,518.28",340.00,"13,166.93",262.70,"10,068.39",447.90,"17,162.60",480.00,"18,235.26",410.00,"15,794.96"
Oct-19,650.00,"24,980.17",330.00,"12,774.26",257.60,"9,905.46",450.50,"17,321.02",480.00,"18,403.59",420.00,"16,103.14"
Sep-19,580.00,"22,524.98",310.00,"12,193.98",249.80,"9,734.53",448.60,"17,482.40",480.00,"18,575.05",390.00,"15,297.10"
Aug-19,350.00,"13,650.03",320.00,"12,644.01",260.00,"10,170.18",449.80,"17,591.67",480.00,"18,691.15",390.00,"15,392.71"
Jul-19,350.00,"13,295.77",330.00,"12,418.94",265.40,"10,069.33",461.80,"17,524.28",490.00,"18,628.42",390.00,"14,663.40"
Jun-19,280.00,"10,866.75",330.00,"12,731.69",265.50,"10,262.62",460.80,"17,814.35",490.00,"18,927.74",370.00,"14,401.78"
May-19,240.00,"9,451.32",310.00,"12,202.12",245.40,"9,591.16",458.60,"17,927.81",490.00,"19,048.30",360.00,"14,078.94"
Apr-19,210.00,"8,243.27",340.00,"13,475.67",263.00,"10,296.71",448.60,"17,559.47",460.00,"18,149.86",390.00,"15,302.50"
Mar-19,210.00,"8,414.40",400.00,"15,815.42",307.30,"12,153.51",460.60,"18,217.91",470.00,"18,787.22",430.00,"17,153.30"
Feb-19,210.00,"8,411.91",390.00,"16,044.52",299.40,"12,218.30",449.30,"18,336.59",460.00,"18,909.61",420.00,"17,190.55"
Jan-19,230.00,"9,454.80",380.00,"15,207.91",298.50,"12,096.65",452.40,"18,336.59",470.00,"18,909.61",420.00,"17,093.14"
Dec-18,250.00,"10,239.40",360.00,"14,727.91",289.70,"11,992.72",451.80,"18,702.10",470.00,"19,286.54",410.00,"17,065.67"
Nov-18,260.00,"10,921.98",350.00,"14,795.64",281.30,"11,773.89",439.10,"18,378.05",450.00,"18,960.55",410.00,"17,125.66"
Oct-18,250.00,"10,764.70",340.00,"14,562.64",268.40,"11,511.42",427.50,"18,335.06",450.00,"19,222.68",390.00,"16,892.66"
Sep-18,270.00,"11,396.59",350.00,"14,611.02",268.30,"11,324.88",429.30,"18,117.66",460.00,"19,286.54",400.00,"16,948.78"
