Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","100","India","5510","Production","403","Onions, dry","2000","2000","tonnes","4721100","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2001","2001","tonnes","5252100","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2002","2002","tonnes","4209500","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2003","2003","tonnes","6267600","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2004","2004","tonnes","7760600","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2005","2005","tonnes","9432500","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2006","2006","tonnes","10847000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2007","2007","tonnes","13900000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2008","2008","tonnes","13565000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2009","2009","tonnes","12158800","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2010","2010","tonnes","15118000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2011","2011","tonnes","17511090","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2012","2012","tonnes","16813000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2013","2013","tonnes","19299000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2014","2014","tonnes","19401680","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2015","2015","tonnes","18927000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2016","2016","tonnes","20931000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2017","2017","tonnes","22427000","","Official data",""
"QC","Crops","100","India","5510","Production","403","Onions, dry","2018","2018","tonnes","22071000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2000","2000","tonnes","127464896","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2001","2001","tonnes","139900000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2002","2002","tonnes","107730304","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2003","2003","tonnes","132789000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2004","2004","tonnes","124697104","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2005","2005","tonnes","137690096","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2006","2006","tonnes","139136992","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2007","2007","tonnes","144570000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2008","2008","tonnes","148036000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2009","2009","tonnes","135672992","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2010","2010","tonnes","143963008","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2011","2011","tonnes","157900000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2012","2012","tonnes","157800000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2013","2013","tonnes","159200000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2014","2014","tonnes","157200000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2015","2015","tonnes","156540000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2016","2016","tonnes","163700000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2017","2017","tonnes","168500000","","Official data",""
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2018","2018","tonnes","172580000","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2000","2000","tonnes","76368896","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2001","2001","tonnes","69680896","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2002","2002","tonnes","72766304","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2003","2003","tonnes","65760800","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2004","2004","tonnes","72156200","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2005","2005","tonnes","68636896","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2006","2006","tonnes","69354496","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2007","2007","tonnes","75806704","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2008","2008","tonnes","78570200","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2009","2009","tonnes","80679400","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2010","2010","tonnes","80803600","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2011","2011","tonnes","86874000","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2012","2012","tonnes","94880000","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2013","2013","tonnes","93510000","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2014","2014","tonnes","95850000","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2015","2015","tonnes","86530000","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2016","2016","tonnes","92290000","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2017","2017","tonnes","98510000","","Official data",""
"QC","Crops","100","India","5510","Production","15","Wheat","2018","2018","tonnes","99700000","","Official data",""
