StateFIPS,State,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014","WIC participants, FY 2015",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014","National School Lunch Program participants, FY 2015",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014","School Breakfast Program participants, FY 2015",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014","Child and Adult Care participants, FY 2015",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","Summer Food participants, FY 2015","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014","State Population,  2015","State Population,  2016"
01,Alabama,"1,40,810","1,43,768","1,41,900","1,39,001","1,31,046","1,32,133","5,79,880","5,71,291","5,62,959","5,39,664","5,31,099","5,31,306","2,12,316","2,16,714","2,24,490","2,24,173","2,36,580","2,54,270","43,136","42,774","42,904","41,863","45,039","51,291","26,599","24,724","26,077","30,308","42,484","49,907","47,08,708","47,85,401","48,02,740","48,17,528","48,33,722","48,49,377","48,58,979","48,63,300"
02,Alaska,"25,816","26,295","24,969","23,055","19,605","19,682","53,554","54,410","53,920","52,495","51,003","53,617","16,943","19,974","20,759","20,741","21,045","25,111","9,874","9,616","10,541","10,963","11,430","10,787","2,345","6,564","4,661","5,078","6,670","5,850","6,98,473","7,14,146","7,22,718","7,30,307","7,35,132","7,36,732","7,38,432","7,41,894"
04,Arizona,"2,08,873","1,99,343","1,93,214","1,82,501","1,73,020","1,67,072","6,55,498","6,61,437","6,62,440","6,46,767","6,44,173","6,47,391","2,31,674","2,61,119","2,74,596","2,89,520","3,00,355","3,08,723","45,772","42,161","41,671","42,945","40,344","42,557","12,403","23,732","27,554","23,688","23,209","16,007","65,95,778","64,13,158","64,82,505","65,51,149","66,26,624","67,31,484","68,28,065","69,31,071"
05,Arkansas,"94,107","93,461","94,293","89,777","83,289","84,220","3,51,950","3,52,818","3,48,909","3,32,497","3,27,469","3,20,995","1,55,258","1,58,053","1,62,018","1,66,376","1,72,605","1,80,503","43,974","51,644","55,787","67,630","76,841","67,985","17,494","21,841","26,217","41,946","45,837","31,081","28,89,450","29,21,588","29,37,979","29,49,828","29,59,373","29,66,369","29,78,204","29,88,248"
06,California,"14,39,006","14,66,564","14,72,468","14,31,881","13,48,939","12,65,005","31,75,063","32,82,277","33,55,494","32,94,580","32,80,666","32,71,857","11,72,714","12,88,655","14,06,620","15,17,341","16,45,954","16,91,546","3,27,838","3,27,270","3,62,931","4,51,422","5,12,187","5,63,089","95,080","1,15,628","1,04,384","1,14,689","1,15,937","1,28,051","3,69,61,664","3,73,38,198","3,76,91,912","3,79,99,878","3,83,32,521","3,88,02,500","3,91,44,818","3,92,50,017"
08,Colorado,"1,07,930","1,04,129","1,03,769","96,874","91,991","90,954","3,90,868","3,99,393","3,89,955","3,75,033","3,72,675","3,78,229","1,07,139","1,26,776","1,42,956","1,55,733","1,68,992","1,85,014","34,480","33,486","32,550","32,507","31,817","43,320","12,804","15,569","16,646","17,933","19,076","20,180","50,24,748","50,47,692","51,16,796","51,89,458","52,68,367","53,55,866","54,56,574","55,40,545"
09,Connecticut,"60,148","56,083","56,584","54,248","52,561","51,295","3,02,997","3,01,545","2,96,699","2,80,253","2,81,934","2,80,152","68,912","81,660","86,529","87,971","93,236","95,009","18,678","19,656","20,326","20,780","20,480","21,873","12,285","10,834","10,185","12,171","17,274","28,276","35,18,288","35,75,498","35,80,709","35,91,765","35,96,080","35,96,677","35,90,886","35,76,452"
10,Delaware,"24,028","22,553","22,214","20,797","19,873","18,998","90,073","94,722","96,040","94,571","94,943","97,978","33,202","36,699","38,624","39,522","41,137","47,974","15,773","18,991","18,367","19,016","18,886","19,987","10,727","9,129","14,366","8,190","9,935","10,298","8,85,122","8,99,792","9,07,135","9,17,053","9,25,749","9,35,614","9,45,934","9,52,065"
11,District of Columbia,"17,473","16,537","16,474","15,674","14,501","14,526","44,579","46,699","47,735","50,569","50,809","52,668","20,431","29,830","33,281","34,873","34,874","34,499","5,975","5,189","7,828","4,990","5,765","5,581","35,298","36,690","36,158","34,778","39,449","28,713","5,99,657","6,04,912","6,17,996","6,33,427","6,46,449","6,58,893","6,72,228","6,81,170"
12,Florida,"5,05,671","4,92,071","4,95,405","4,83,565","4,66,736","4,83,811","15,60,392","16,48,779","16,53,680","16,38,775","16,52,118","16,75,731","6,10,818","6,84,279","7,11,285","7,50,969","7,73,080","7,86,519","1,80,614","2,03,266","2,10,497","2,23,791","2,48,434","2,69,550","1,27,826","1,29,450","1,37,796","1,45,389","1,55,570","1,63,445","1,85,37,969","1,88,38,613","1,90,57,542","1,93,20,749","1,95,52,860","1,98,93,297","2,02,71,272","2,06,12,439"
13,Georgia,"4,99,213","4,69,456","3,03,875","2,89,524","2,71,416","2,64,299","12,90,996","13,01,069","12,87,033","12,45,368","12,36,304","12,36,154","5,64,627","6,00,642","6,20,655","6,08,138","6,26,650","6,26,930","1,40,053","1,38,076","1,35,286","1,38,070","1,41,104","1,41,717","68,454","75,836","84,854","71,557","98,044","1,01,239","98,29,211","97,12,157","98,15,210","99,15,646","99,92,167","1,00,97,343","1,02,14,860","1,03,10,371"
